running on Julia 1.8.5 (8 Threads)
simulation_pattern: 10800
file_name: data/20230324_103925/7.csv
file_name: data/20230324_103925/25.csv
file_name: data/20230324_103925/1.csv
file_name: data/20230324_103925/19.csv
file_name: data/20230324_103925/37.csv
file_name: data/20230324_103925/13.csv
file_name: data/20230324_103925/43.csv
file_name: data/20230324_103925/31.csv
20:36:21 data/20230324_103925/38.csv 20.37037037037037%
20:36:38 data/20230324_103925/26.csv 26.851851851851855%
20:36:54 data/20230324_103925/32.csv 28.703703703703702%
20:37:02 data/20230324_103925/20.csv 20.37037037037037%
20:37:30 data/20230324_103925/14.csv 25.925925925925924%
20:37:44 data/20230324_103925/44.csv 14.814814814814813%
20:39:24 data/20230324_103925/8.csv 23.14814814814815%
20:40:20 data/20230324_103925/38.csv 21.296296296296298%
20:40:35 data/20230324_103925/2.csv 13.88888888888889%
20:40:41 data/20230324_103925/32.csv 29.629629629629626%
20:40:53 data/20230324_103925/26.csv 27.77777777777778%
20:41:02 data/20230324_103925/14.csv 26.851851851851855%
20:42:26 data/20230324_103925/20.csv 21.296296296296298%
20:42:53 data/20230324_103925/8.csv 24.074074074074073%
20:43:31 data/20230324_103925/44.csv 15.74074074074074%
20:44:14 data/20230324_103925/32.csv 30.555555555555557%
20:44:15 data/20230324_103925/26.csv 28.703703703703702%
20:44:25 data/20230324_103925/14.csv 27.77777777777778%
20:44:39 data/20230324_103925/38.csv 22.22222222222222%
20:46:33 data/20230324_103925/20.csv 22.22222222222222%
20:47:48 data/20230324_103925/8.csv 25.0%
20:47:50 data/20230324_103925/44.csv 16.666666666666664%
20:48:12 data/20230324_103925/38.csv 23.14814814814815%
20:48:17 data/20230324_103925/26.csv 29.629629629629626%
20:48:18 data/20230324_103925/32.csv 31.48148148148148%
20:48:35 data/20230324_103925/14.csv 28.703703703703702%
20:49:11 data/20230324_103925/2.csv 14.814814814814813%
20:50:44 data/20230324_103925/20.csv 23.14814814814815%
20:51:28 data/20230324_103925/8.csv 25.925925925925924%
20:52:00 data/20230324_103925/26.csv 30.555555555555557%
20:52:08 data/20230324_103925/32.csv 32.407407407407405%
20:52:12 data/20230324_103925/38.csv 24.074074074074073%
20:52:13 data/20230324_103925/14.csv 29.629629629629626%
20:52:58 data/20230324_103925/44.csv 17.59259259259259%
20:54:20 data/20230324_103925/20.csv 24.074074074074073%
20:55:10 data/20230324_103925/8.csv 26.851851851851855%
20:55:51 data/20230324_103925/26.csv 31.48148148148148%
